,train_L1_loss,train_psnr,train_ssim,val_L1_loss,val_psnr,val_ssim
0,0.17753587732258902,23.19445252005737,0.927318926525401,0.1772341092622013,24.519281926858124,0.9369399635415425
1,0.1623531011929365,23.253181507833276,0.9266875775224587,0.16173087471916053,24.655904251001527,0.9384147326070815
2,0.17155790649893035,23.29153382268971,0.926755415123404,0.1710062007359379,24.677647639500783,0.9389594043630941
3,0.17187491946158545,23.315222718028885,0.9267213441163629,0.17073667597511816,24.685478803992133,0.9395076696869511
4,0.1671295124735422,23.355205908530827,0.9270755480801809,0.16897301433759368,24.598728241464524,0.9385576237513196
5,0.16780556164929714,23.384758004321238,0.9268557569376525,0.1682970576666887,24.644826889550348,0.9400369654994276
6,0.16956897554986516,23.417535622800056,0.9273869061767959,0.1692947166611566,24.622771850352606,0.9393766839759958
7,0.1544628228772044,23.439972965280425,0.9273364975520377,0.1542954067512316,24.59385604263879,0.9403266448571518
8,0.16295444231632825,23.504017403292938,0.9281339612766757,0.16129357381903953,24.47746463035555,0.9391595165630054
9,0.15558073098281197,23.51118067880603,0.9286059120645183,0.15533254562190874,24.445558817633135,0.9392464307461487
10,0.17158833348995825,23.533349524278037,0.9286713880947011,0.17140324348595667,24.54373843878025,0.9401132265749512
11,0.16481947036584058,23.564346419350585,0.9288979866896989,0.1656165569042349,24.39584379501423,0.9400145395582368
12,0.1658878542568595,23.56033974234709,0.9287903025413328,0.16573445800345168,24.437713034332255,0.9399685943716788
13,0.1607383148654556,23.572260770787125,0.9290220398694004,0.1594702603061275,24.394051947355823,0.9394452268003385
14,0.16040451925693516,23.60012041868606,0.9291561193405644,0.16001773322894955,24.360296643449292,0.9402965278407409
15,0.15773414717366285,23.62569760893964,0.9291574837577077,0.1564217194736251,24.364465303738534,0.9396465086526903
16,0.16116121377004794,23.635800483104305,0.9292384149289752,0.16217327778475743,24.340851472004406,0.9390973985635833
17,0.14628901817728276,23.642260701190175,0.929552511632594,0.14571512073271062,24.376763257182642,0.9405706906242347
18,0.14918201275255544,23.6792430008642,0.9296915130025439,0.14837441574613308,24.38348513312322,0.9399271919070973
19,0.16617796916339042,23.682953403851094,0.9297254740274602,0.1670820780713679,24.34397223913758,0.9401577444210681
