,train_L1_loss,train_psnr,train_ssim,val_L1_loss,val_psnr,val_ssim,train_CE_loss,train_G_loss,val_CE_loss,val_G_loss,train_neighbor_loss,val_neighbor_loss
0,0.16153450880386852,23.522020074510877,0.928640103785057,0.16991375521699745,23.65651746707553,0.9370950438296995,4.3208802287000765,6.037997152300459,4.355932783161652,6.152980712209483,0.0050069767723072605,0.004904528214602049
1,0.15714501585988688,23.788957208517115,0.9307184188406691,0.15519232975069136,23.601831521626455,0.9364182029405497,4.000995646833741,5.583623300331335,3.8837674199969823,5.449131371845758,0.0051028515547809124,0.00511064437396232
2,0.15571172369061476,23.877768195367917,0.9316115396017092,0.15526198715461428,23.723149095258908,0.938248169354504,3.972806690244273,5.569247344458314,3.9427355022957995,5.535155422874288,0.004926360589274156,0.0049195176780403894
3,0.14754830444899789,23.96736536534945,0.9323443424818781,0.14396386579081158,23.752748940392763,0.9387016366789949,3.897815462222009,5.392168606809665,3.853813980528742,5.3132245658817014,0.004809759752213473,0.004739674795427091
4,0.1482107544594968,24.030314174200413,0.932811755679334,0.14492744300964233,23.77855374726325,0.9390829189945997,3.89990646974039,5.412592263658136,3.889211590936536,5.368740810182641,0.004960285579563418,0.004823616706566023
5,0.1452474640925788,24.14373598171661,0.9337093173013197,0.1429484642376234,23.889066999526722,0.939755266987021,3.9202440343815614,5.431935728562202,3.9725027372725172,5.465673848349144,0.005869656369476555,0.006319452260415972
6,0.14815991282781246,24.2756324594681,0.9348291484313132,0.1472404667346624,24.055519026023696,0.9409606297271788,3.903592366939754,5.439087887304342,3.9182965424504803,5.443901453869558,0.0054613858417837426,0.005387838217524009
7,0.13791278586559666,24.47760106774915,0.9362986668436069,0.13696671610547304,24.11752797335704,0.9416574797198931,3.8750446507626726,5.3224561964320785,3.9399479954899497,5.37716221046495,0.005648686651713024,0.005639710194286734
8,0.13703771387715272,24.58880689197442,0.9370400682546642,0.13829732476205,24.146858642079064,0.9420325329142877,3.7509112197202557,5.187677881709362,3.7568101249290784,5.20549213886105,0.0058433345019869715,0.0058188888548940205
9,0.1385116675583465,24.69246379563405,0.9375879267961709,0.13774896598370212,24.143327277860443,0.9420671332632847,3.8889837728030607,5.3309278194561225,3.8890977072798987,5.323670392686588,0.006067707289528306,0.00607216198393276
10,0.1373524354762313,24.76150294725411,0.9379773151859684,0.13627032233563882,24.123344928412877,0.941734942296955,3.8209227581180563,5.257172078666785,3.8603278441978635,5.284745047256679,0.005795720222391971,0.005720767392931233
11,0.1330114369703658,24.80348300990121,0.9382195674868609,0.1361723537230967,24.090905044958394,0.9417367873968128,3.6684583424081914,5.082500761082944,3.7019883850260538,5.147590274928233,0.005967160013350022,0.006095199366072929
12,0.12343149130326384,24.8591383680497,0.9385142092953135,0.12057135830575212,24.136754851551846,0.9419751366801314,3.453124198966634,4.726458603865421,3.443077403654127,4.687021933946827,0.005564657755138108,0.005394629085540147
13,0.1357493732647212,24.902740135254504,0.9386909511135924,0.13440600590028282,24.08582232126821,0.9414944985429623,3.7496590071200804,5.181052149002267,3.810985599037938,5.233682869409888,0.006638703803331749,0.0071536799775364195
14,0.13006480776261792,24.943766176922562,0.9389727782543452,0.1269537013337228,24.110658163439062,0.9417611258577425,3.634690503023829,4.982553378317498,3.63987988742308,4.960959685171108,0.006256742465921351,0.006605357077232262
15,0.1219559451220773,24.993717376435654,0.9392841151271047,0.12168098673706594,24.08905959277739,0.9414257273818952,3.4947912110817585,4.7617484115854065,3.440119409918387,4.705121970858504,0.006273828326331167,0.006269202297263266
16,0.13179397622078687,25.03192230475319,0.9394151883860171,0.1327239584920384,24.08446674356251,0.9414580102613727,3.6421538662412725,5.0341995775262465,3.654852208360673,5.060597595362192,0.006738321524609519,0.007215171731546106
17,0.13208261202206364,25.095284582216866,0.9398326750731489,0.1386187334207471,24.116438905576278,0.9417250969075504,3.6412920138647866,5.061581012040729,3.6518581436502022,5.136044682904922,0.0063751922832382575,0.00642464695122226
