,train_L1_loss,train_psnr,train_ssim,val_L1_loss,val_psnr,val_ssim
0,0.15387169316926208,23.485371739168112,0.9280368977802654,0.15387191301755115,23.561228116228655,0.9356312369621694
1,0.14560598752525594,23.685455667596617,0.9291331281039306,0.14656918341855182,23.64488230880766,0.9362290057728364
2,0.13979667234821075,23.852659887502675,0.9306026373763372,0.14142795720788315,23.71295326319375,0.9374560762615896
3,0.14009180500746962,24.05788479850971,0.9323363669151836,0.13966516809618693,23.85332579528333,0.9384560991003603
4,0.12424392339477541,24.32406400710384,0.9338994821298368,0.12393747121267665,24.109016774664042,0.9403136968769625
5,0.1268663951008312,24.614930695653605,0.9362641752625538,0.12710477032992332,24.184261006040913,0.941024676401687
6,0.11662432994158843,24.83418248884687,0.9383852661674575,0.11624941392214908,24.276041932116183,0.942156488389379
7,0.11433280229112622,25.00021729549125,0.9396669839750149,0.11388985855845153,24.24030115338555,0.9419773080375241
8,0.12388775284683727,25.148102237336694,0.940911387472528,0.12412619447805165,24.108167203810982,0.940773702999612
9,0.12618012048391924,25.247478708658875,0.9414609037873838,0.12617300363522954,24.121268709745376,0.9407748539025074
10,0.12466749654329004,25.349758810290606,0.942106168294302,0.12482322898140107,24.10918429937311,0.9412454436472341
11,0.11492834204149598,25.405640270732356,0.9424617790763582,0.11619563020984709,24.072617447968284,0.9405239703765442
12,0.11080806962364971,25.49979197459547,0.9432061817783749,0.11032603387584351,24.122388116646004,0.9415195640880544
13,0.1088219320599494,25.57546347418164,0.9436399105862601,0.10838057824201565,24.064736772316042,0.9406824256381436
14,0.10872530935676943,25.644412170430712,0.9440417287380347,0.10768382200592203,24.059346560105293,0.9406770536824773
15,0.10366327787399537,25.703762987753862,0.9443675464970364,0.10311978812824492,24.090263501866172,0.9411023625685616
16,0.11456181397930786,25.773903727860393,0.9448581540753466,0.11441902946257057,24.026755884702098,0.9402651396441752
17,0.1071379911088963,25.838860069524294,0.9452352966952957,0.1070706120478554,24.007283455273623,0.9400993193254302
