,train_L1_loss,train_psnr,train_ssim,val_L1_loss,val_psnr,val_ssim,train_CE_loss,train_G_loss,val_CE_loss,val_G_loss
0,0.1470790381185505,23.514366276496517,0.9281456723381657,0.14570565431325525,23.611649924115888,0.9361877073574317,4.217603878149337,5.697071637516428,4.270548292904489,5.735922593854427
1,0.14411504540074763,23.76294237778303,0.9296506476026695,0.1430068248133039,23.698519050546757,0.9371342343136027,4.065502528181476,5.500290032521789,4.068688946696723,5.492657765770529
2,0.14432079003021225,23.844670239193874,0.9308474492177387,0.14384690114671922,23.67819954501515,0.9374270826331498,3.9909264781856795,5.424288274759205,3.9712111722504315,5.400241856322887
3,0.15204421226093742,23.94516353511121,0.93175960996436,0.14793897963835986,23.644586654895857,0.9373306923528643,4.073578221482811,5.54993835912491,4.024704936065834,5.461838395924484
4,0.14354617575379747,24.00037000165203,0.9321571953978479,0.14152301997772143,23.688092675378343,0.9378165292463287,4.086098128877227,5.504961490882024,4.077176715218392,5.476495943935524
5,0.1390065700302773,24.0733935196521,0.932673703194985,0.13668541299129805,23.6372315919914,0.9377469838938944,4.0105102141685895,5.382775354960555,4.0039508367621846,5.353741614013808
6,0.1392666593437809,24.179134481021066,0.9332269890698498,0.13990605598958106,23.851415061560868,0.9390388718910361,3.89181592275202,5.301519873829343,3.929517304336455,5.344909624066701
7,0.13840691894704027,24.30298305729624,0.9341873984261347,0.13748469733042354,23.85106076811029,0.9388684542339321,3.8818578001072073,5.249415628730223,3.851329252300494,5.210348685945462
8,0.12646409861359256,24.48892597089296,0.9353819008089598,0.1285290007502883,23.962321708649863,0.9396957019418904,3.6955150587473535,4.996612081053594,3.7623501589077577,5.082586392581241
9,0.13279385964665846,24.621749693034072,0.9363968478946301,0.13018690606671843,24.113661566226817,0.9410058445123357,3.788673252115489,5.08338380691854,3.7421522608200344,5.012169413748441
10,0.11989904161403292,24.703356895672282,0.9372576609759099,0.1217602666016239,24.09509892762472,0.9407670503122187,3.628848483850856,4.840628890602702,3.6297198908703927,4.859582858248232
11,0.1230070037094046,24.772616822883013,0.9375292849430791,0.12217849468422605,24.097482923537125,0.9408973590591562,3.647331423993402,4.8744499224274715,3.6550544198718486,4.874010065272142
12,0.12613988699411122,24.830377332077767,0.9381385397709641,0.12455237113574524,24.093317007194106,0.9408516855927122,3.757382463204937,5.01022588985078,3.76360184439845,5.000924436423024
13,0.12024344324999378,24.903110841900634,0.9383049843124789,0.12101755174402407,24.08115768668874,0.9408752832357911,3.666069284955088,4.875961642622484,3.6727574682885384,4.890082045303167
14,0.1283915874246895,24.97097197866679,0.9387544195412263,0.12615910512042425,24.106424480181488,0.9410629246964122,3.8019523741608117,5.059664412215478,3.7687733627540836,5.005245801699561
15,0.11883596509448674,25.029123466674335,0.93920588720706,0.12033358571400948,24.073217691022545,0.9407782392312587,3.5897930329246788,4.790233262564704,3.5957870886001473,4.810703198018813
16,0.12259632096443765,25.08342740997811,0.93941219784869,0.1228323909572482,24.045500691608442,0.9403813362129405,3.623411791263914,4.86446884779192,3.6633739787119297,4.906166629831892
17,0.11671255132588561,25.135411750729926,0.9397137067975895,0.11960656787637002,24.042927450265267,0.9403487266964545,3.5560171539391567,4.7576043591426265,3.600486423974147,4.829586567595745
18,0.11960382838836159,25.170167518441563,0.9400176090262365,0.11963732234845668,24.03320726605506,0.9403464707920367,3.562797629150524,4.757330950506064,3.55768040220308,4.752610996968678
19,0.12242832538115339,25.220622045807865,0.9402287437384598,0.12166982113715373,24.008874791498403,0.9400193518009903,3.5860372838202323,4.797904870790182,3.564373230233825,4.7691699639591
20,0.11750622860543394,25.273913228150718,0.9405329382509122,0.11791230021592576,24.0484878841785,0.9404205238522066,3.5179861713352416,4.7005704287106855,3.532172996230102,4.71850645906787
21,0.11607072492120328,25.321966529600914,0.9407012362461549,0.11697056233005124,24.033834202370183,0.9402311569620335,3.627781728774248,4.79211578829773,3.6206397789674107,4.7938219992847415
22,0.11397953427257464,25.355444316772417,0.9410395993112445,0.11112986495712052,24.066968966392388,0.940495381864712,3.4558901992989113,4.556625738752959,3.3969380357910195,4.470794535695096
23,0.12044790205659221,25.38583831413429,0.941198420992135,0.11925022219993853,24.006424084376373,0.9397231502973928,3.560473864179389,4.752149872251096,3.54638602420216,4.726615462872314
